              R25          10  k ohm +/- 1%
              B(25/50)      3936 K     +/- 1%

               TEMP.       R-low      R-center     R-high
              (deg.C)     (k ohm)     (k ohm)     (k ohm)
                -40       322.5746    337.5030    353.0871
                -39       302.0553    315.8244    330.1882
                -38       282.9773    295.6818    308.9258
                -37       265.2300    276.9565    289.1725
                -36       248.7122    259.5398    270.8117
                -35       233.3310    243.3320    253.7363
                -34       219.0073    228.2482    237.8553
                -33       205.6553    214.1967    223.0706
                -32       193.2031    201.1005    209.2997
                -31       181.5846    188.8886    196.4669
                -30       170.7387    177.4960    184.5024
                -29       160.6037    166.8568    173.3360
                -28       151.1345    156.9225    162.9159
                -27       142.2832    147.6422    153.1878
                -26       134.0058    138.9688    144.1013
                -25       126.2615    130.8591    135.6105
                -24       119.0027    123.2622    127.6614
                -23       112.2065    116.1538    120.2278
                -22       105.8406    109.4993    113.2731
                -21       99.8752     103.2672    106.7636
                -20       94.2827     97.4280     100.6681
                -19       89.0334     91.9503     94.9533
                -18       84.1085     86.8142     89.5979
                -17       79.4861     81.9962     84.5772
                -16       75.1457     77.4749     79.8682
                -15       71.0687     73.2302     75.4498
                -14       67.2310     69.2370     71.2956
                -13       63.6239     65.4857     67.3953
                -12       60.2321     61.9604     63.7319
                -11       57.0416     58.6461     60.2896
                -10       54.0392     55.5289     57.0539
                 -9       51.2090     52.5921     54.0071
                 -8       48.5441     49.8283     51.1414
                 -7       46.0339     47.2263     48.4448
                 -6       43.6684     44.7757     45.9065
                 -5       41.4385     42.4668     43.5162
                 -4       39.3338     40.2887     41.2625
                 -3       37.3486     38.2352     39.1390
                 -2       35.4753     36.2986     37.1373
                 -1       33.7070     34.4714     35.2497
                 0        32.0372     32.7470     33.4691
                 1        30.4579     31.1167     31.7867
                 2        28.9657     29.5773     30.1988
                 3        27.5555     28.1231     28.6996
                 4        26.2222     26.7489     27.2836
                 5        24.9612     25.4500     25.9457
                 6        23.7677     24.2211     24.6807
                 7        22.6382     23.0587     23.4847
                 8        21.5690     21.9589     22.3536
                 9        20.5565     20.9179     21.2836
                 10       19.5974     19.9323     20.2710
                 11       18.6881     18.9984     19.3120
                 12       17.8264     18.1137     18.4039
                 13       17.0093     17.2753     17.5437
                 14       16.2345     16.4806     16.7287
                 15       15.4993     15.7269     15.9563
                 16       14.8015     15.0119     15.2237
                 17       14.1391     14.3334     14.5290
                 18       13.5102     13.6895     13.8699
                 19       12.9128     13.0782     13.2445
                 20       12.3452     12.4977     12.6509
                 21       11.8057     11.9462     12.0871
                 22       11.2928     11.4221     11.5516
                 23       10.8052     10.9240     11.0430
                 24       10.3413     10.4504     10.5595
                 25        9.9000     10.0000     10.1000
                 26        9.4717      9.5715      9.6715
                 27        9.0643      9.1638      9.2636
                 28        8.6767      8.7758      8.8751
                 29        8.3078      8.4063      8.5051
                 30        7.9566      8.0544      8.1526
                 31        7.6223      7.7192      7.8166
                 32        7.3038      7.3999      7.4964
                 33        7.0004      7.0955      7.1910
                 34        6.7113      6.8052      6.8998
                 35        6.4357      6.5285      6.6219
                 36        6.1729      6.2645      6.3568
                 37        5.9223      6.0126      6.1037
                 38        5.6832      5.7723      5.8621
                 39        5.4551      5.5428      5.6314
                 40        5.2373      5.3237      5.4109
                 41        5.0295      5.1144      5.2003
                 42        4.8310      4.9145      4.9991
                 43        4.6413      4.7235      4.8067
                 44        4.4602      4.5409      4.6227
                 45        4.2870      4.3664      4.4467
                 46        4.1216      4.1995      4.2785
                 47        3.9634      4.0399      4.1175
                 48        3.8122      3.8872      3.9634
                 49        3.6675      3.7411      3.8158
                 50        3.5290      3.6012      3.6746
                 51        3.3964      3.4672      3.5392
                 52        3.2695      3.3389      3.4095
                 53        3.1479      3.2160      3.2852
                 54        3.0315      3.0982      3.1661
                 55        2.9200      2.9854      3.0519
                 56        2.8132      2.8773      2.9425
                 57        2.7109      2.7736      2.8375
                 58        2.6128      2.6743      2.7369
                 59        2.5188      2.5789      2.6403
                 60        2.4286      2.4875      2.5476
                 61        2.3421      2.3998      2.4586
                 62        2.2592      2.3156      2.3732
                 63        2.1795      2.2348      2.2912
                 64        2.1031      2.1572      2.2124
                 65        2.0298      2.0827      2.1368
                 66        1.9593      2.0111      2.0641
                 67        1.8917      1.9424      1.9942
                 68        1.8267      1.8763      1.9271
                 69        1.7643      1.8129      1.8625
                 70        1.7044      1.7518      1.8004
                 71        1.6467      1.6932      1.7408
                 72        1.5914      1.6368      1.6833
                 73        1.5381      1.5825      1.6281
                 74        1.4869      1.5304      1.5749
                 75        1.4376      1.4801      1.5238
                 76        1.3903      1.4319      1.4746
